year,city,avg_temp,10y_ma
1850,Oklahoma City,14.71,14.74
1851,Oklahoma City,15.13,14.72
1852,Oklahoma City,14.37,14.77
1853,Oklahoma City,14.53,14.74
1854,Oklahoma City,15.7,14.69
1855,Oklahoma City,14.9,14.82
1856,Oklahoma City,13.99,14.82
1857,Oklahoma City,14.42,14.71
1858,Oklahoma City,15.02,14.61
1859,Oklahoma City,14.87,14.71
1860,Oklahoma City,15.71,14.75
1861,Oklahoma City,15.55,14.85
1862,Oklahoma City,15.33,14.93
1863,Oklahoma City,15.17,14.94
1864,Oklahoma City,14.6,15.02
1865,Oklahoma City,15.01,15.02
1866,Oklahoma City,14.77,14.96
1867,Oklahoma City,15.17,14.95
1868,Oklahoma City,14.72,15.06
1869,Oklahoma City,13.76,15.08
1870,Oklahoma City,15.09,14.97
1871,Oklahoma City,15.33,14.99
1872,Oklahoma City,14.13,14.95
1873,Oklahoma City,14.13,14.83
1874,Oklahoma City,15.08,14.72
1875,Oklahoma City,13.83,14.71
1876,Oklahoma City,14.68,14.64
1877,Oklahoma City,14.84,14.61
1878,Oklahoma City,15.39,14.61
1879,Oklahoma City,15.37,14.63
1880,Oklahoma City,14.95,14.69
1881,Oklahoma City,15.22,14.8
1882,Oklahoma City,15.31,14.81
1883,Oklahoma City,14.17,14.81
1884,Oklahoma City,14.01,14.82
1885,Oklahoma City,13.7,14.8
1886,Oklahoma City,14.3,14.68
1887,Oklahoma City,14.84,14.72
1888,Oklahoma City,14.46,14.74
1889,Oklahoma City,14.85,14.7
1890,Oklahoma City,15.37,14.65
1891,Oklahoma City,14.43,14.65
1892,Oklahoma City,14.1,14.61
1893,Oklahoma City,14.84,14.5
1894,Oklahoma City,15.18,14.46
1895,Oklahoma City,14.18,14.55
1896,Oklahoma City,15.66,14.57
1897,Oklahoma City,14.81,14.75
1898,Oklahoma City,14.46,14.79
1899,Oklahoma City,14.56,14.76
1900,Oklahoma City,15.37,14.77
1901,Oklahoma City,15.39,14.81
1902,Oklahoma City,14.96,14.82
1903,Oklahoma City,14.12,14.86
1904,Oklahoma City,15.22,14.87
1905,Oklahoma City,14.16,14.9
1906,Oklahoma City,14.45,14.81
1907,Oklahoma City,15.33,14.83
1908,Oklahoma City,15.37,14.8
1909,Oklahoma City,15.37,14.85
1910,Oklahoma City,15.86,14.94
1911,Oklahoma City,16.14,15.05
1912,Oklahoma City,14.26,15.12
1913,Oklahoma City,15.11,15.02
1914,Oklahoma City,15.59,15.04
1915,Oklahoma City,14.55,15.17
1916,Oklahoma City,15.08,15.11
1917,Oklahoma City,14.28,15.19
1918,Oklahoma City,15.22,15.18
1919,Oklahoma City,14.57,15.17
1920,Oklahoma City,14.62,15.09
1921,Oklahoma City,16.48,15.03
1922,Oklahoma City,15.7,15.08
1923,Oklahoma City,15.48,15.04
1924,Oklahoma City,14.4,15.15
1925,Oklahoma City,15.77,15.09
1926,Oklahoma City,15.05,15.1
1927,Oklahoma City,15.51,15.15
1928,Oklahoma City,15.48,15.19
1929,Oklahoma City,14.52,15.3
1930,Oklahoma City,15.48,15.23
1931,Oklahoma City,16.29,15.32
1932,Oklahoma City,15.18,15.47
1933,Oklahoma City,16.61,15.35
1934,Oklahoma City,16.6,15.43
1935,Oklahoma City,15.36,15.54
1936,Oklahoma City,16.01,15.62
1937,Oklahoma City,14.95,15.64
1938,Oklahoma City,16.49,15.64
1939,Oklahoma City,16.64,15.72
1940,Oklahoma City,14.66,15.83
1941,Oklahoma City,15.6,15.84
1942,Oklahoma City,15.17,15.85
1943,Oklahoma City,15.59,15.75
1944,Oklahoma City,15.5,15.79
1945,Oklahoma City,14.89,15.69
1946,Oklahoma City,16.53,15.53
1947,Oklahoma City,15.41,15.64
1948,Oklahoma City,15.03,15.58
1949,Oklahoma City,14.97,15.59
1950,Oklahoma City,14.89,15.45
1951,Oklahoma City,15.03,15.29
1952,Oklahoma City,15.9,15.33
1953,Oklahoma City,16.35,15.36
1954,Oklahoma City,17.32,15.46
1955,Oklahoma City,15.8,15.62
1956,Oklahoma City,16.62,15.65
1957,Oklahoma City,14.99,15.8
1958,Oklahoma City,15,15.66
1959,Oklahoma City,15.07,15.63
1960,Oklahoma City,14.75,15.63
1961,Oklahoma City,14.67,15.61
1962,Oklahoma City,15.58,15.59
1963,Oklahoma City,16.06,15.64
1964,Oklahoma City,15.78,15.66
1965,Oklahoma City,16.02,15.6
1966,Oklahoma City,15,15.49
1967,Oklahoma City,15.38,15.41
1968,Oklahoma City,14.78,15.3
1969,Oklahoma City,15.24,15.28
1970,Oklahoma City,15.46,15.3
1971,Oklahoma City,15.5,15.34
1972,Oklahoma City,15.33,15.41
1973,Oklahoma City,15.29,15.47
1974,Oklahoma City,15.52,15.44
1975,Oklahoma City,15.03,15.39
1976,Oklahoma City,15.24,15.32
1977,Oklahoma City,16.3,15.25
1978,Oklahoma City,14.91,15.37
1979,Oklahoma City,14.28,15.33
1980,Oklahoma City,16.08,15.28
1981,Oklahoma City,16.2,15.36
1982,Oklahoma City,15.13,15.43
1983,Oklahoma City,14.62,15.39
1984,Oklahoma City,15.48,15.33
1985,Oklahoma City,14.87,15.34
1986,Oklahoma City,16.24,15.29
1987,Oklahoma City,15.63,15.4
1988,Oklahoma City,15.38,15.43
1989,Oklahoma City,14.56,15.35
1990,Oklahoma City,16.26,15.32
1991,Oklahoma City,16.13,15.5
1992,Oklahoma City,15.49,15.5
1993,Oklahoma City,14.73,15.44
1994,Oklahoma City,15.72,15.4
1995,Oklahoma City,15.42,15.5
1996,Oklahoma City,15.24,15.49
1997,Oklahoma City,15.23,15.53
1998,Oklahoma City,17,15.44
1999,Oklahoma City,16.5,15.56
2000,Oklahoma City,15.91,15.66
2001,Oklahoma City,16.46,15.78
2002,Oklahoma City,15.51,15.8
2003,Oklahoma City,15.7,15.75
2004,Oklahoma City,15.87,15.77
2005,Oklahoma City,16.2,15.87
2006,Oklahoma City,17.1,15.91
2007,Oklahoma City,15.83,16.07
2008,Oklahoma City,15.41,16.12
2009,Oklahoma City,15.4,16.14
2010,Oklahoma City,15.95,15.99
2011,Oklahoma City,16.71,15.94
2012,Oklahoma City,17.69,16.01
2013,Oklahoma City,17.21,16.12
